database_id,chemical_shift_x,chemical_shift_y,intensity
HMDB0000052,1.9115,30.2143,0.5034743097
HMDB0000052,1.6887,26.5571,0.1185911464
HMDB0000053,5.754,124.1557,1.0
HMDB0000053,2.4766,35.7362,0.0853963946
HMDB0000053,2.4346,32.66,0.3446896182
HMDB0000053,2.4286,33.9035,0.3053414695
HMDB0000053,2.3626,33.9035,0.2536227155
HMDB0000053,2.3356,32.66,0.2226363039
HMDB0000053,2.0808,35.7362,0.1167919655
HMDB0000053,1.9878,21.7297,0.2137833588
HMDB0000053,1.9788,30.8273,0.2366489736
HMDB0000053,1.8709,31.351,0.1775390457
HMDB0000053,1.733,35.4089,0.2073821253
HMDB0000053,1.691,20.2898,0.2951737088
HMDB0000053,1.5771,21.7297,0.2005010501
HMDB0000053,1.4661,20.3552,0.153800856
HMDB0000053,1.2982,50.9208,0.3718329833
HMDB0000053,1.2803,31.4164,0.2307889593
HMDB0000053,1.2143,17.4099,0.4647873419
HMDB0000053,1.1273,30.7619,0.2022989356
HMDB0000053,0.9954,53.866,0.4425360424
HMDB0000053,0.9564,13.7447,0.4491200835
HMDB0000053,0.8905,13.6792,0.3343049326
HMDB0000054,6.8211,127.1496,0.2673421463
HMDB0000054,6.581,126.8174,0.2363560334
HMDB0000054,6.213,116.8618,0.0247137599
HMDB0000054,6.0944,99.4167,0.5671957449
HMDB0000054,5.6483,121.8304,0.6042757883
HMDB0000054,5.6128,121.8304,0.309617811
HMDB0000054,5.2975,116.864,0.18246973
HMDB0000054,3.9941,23.5679,0.8273425937
HMDB0000054,2.5042,39.5037,0.7049342253
HMDB0000054,2.429,19.0625,0.8775022855
HMDB0000054,2.1641,9.1017,0.8773642185
HMDB0000054,2.0178,8.9621,0.3775663809
HMDB0000054,1.9417,34.0141,1.0
HMDB0000054,1.9237,9.3036,0.782750979
HMDB0000055,5.2191,94.5353,0.6139419793
HMDB0000055,4.6535,98.4467,0.5382971301
HMDB0000055,4.4981,105.1863,1.0
HMDB0000055,3.9498,62.6313,0.2258626809
HMDB0000055,3.9349,72.7171,0.2230957072
HMDB0000055,3.9213,63.285,0.4682383853
HMDB0000055,3.904,63.285,0.4774875834
HMDB0000055,3.8668,62.5379,0.3890812446
HMDB0000055,3.8136,74.0245,0.3221534395
HMDB0000055,3.8049,62.787,0.265078419
HMDB0000055,3.7331,63.3162,0.3834255973
HMDB0000055,3.6365,81.2775,0.3481617068
HMDB0000055,3.6217,77.044,0.3034849657
HMDB0000055,3.5895,77.3864,0.3641788597
HMDB0000055,3.5697,73.9311,0.2842151731
HMDB0000055,3.5041,78.258,0.7189607427
HMDB0000055,3.4768,78.6005,0.5470878746
HMDB0000055,3.4124,72.219,0.4460496831
HMDB0000055,3.3134,75.8611,0.6419223909
HMDB0000055,3.275,76.6082,0.5633491833
HMDB0000055,5.229,5.221,NA
HMDB0000055,4.811,4.804,NA
HMDB0000055,4.664,3.279,NA
HMDB0000055,4.663,3.26,NA
HMDB0000055,4.663,3.299,NA
HMDB0000055,4.663,3.599,NA
HMDB0000055,4.663,3.619,NA
HMDB0000055,4.663,3.634,NA
HMDB0000055,4.663,4.648,NA
HMDB0000055,4.663,4.668,NA
HMDB0000055,4.512,3.332,NA
HMDB0000055,4.512,3.388,NA
HMDB0000055,4.512,3.412,NA
HMDB0000055,4.512,3.435,NA
HMDB0000055,4.512,3.529,NA
HMDB0000055,4.511,3.291,NA
HMDB0000055,4.511,3.312,NA
HMDB0000055,4.511,3.484,NA
HMDB0000055,4.511,3.507,NA
HMDB0000055,4.511,4.497,NA
HMDB0000055,4.511,4.516,NA
HMDB0000055,3.952,3.966,NA
HMDB0000055,3.949,3.613,NA
HMDB0000055,3.949,3.635,NA
HMDB0000055,3.948,3.657,NA
HMDB0000055,3.947,3.587,NA
HMDB0000055,3.945,3.561,NA
HMDB0000055,3.943,3.816,NA
HMDB0000055,3.939,3.792,NA
HMDB0000055,3.925,3.93,NA
HMDB0000055,3.911,3.389,NA
HMDB0000055,3.911,3.412,NA
HMDB0000055,3.911,3.434,NA
HMDB0000055,3.911,3.48,NA
HMDB0000055,3.911,3.505,NA
HMDB0000055,3.911,3.53,NA
HMDB0000055,3.91,3.898,NA
HMDB0000055,3.905,3.749,NA
HMDB0000055,3.903,3.705,NA
HMDB0000055,3.869,3.869,NA
HMDB0000055,3.858,3.956,NA
HMDB0000055,3.819,3.657,NA
HMDB0000055,3.816,3.559,NA
HMDB0000055,3.816,5.22,NA
HMDB0000055,3.815,3.634,NA
HMDB0000055,3.813,3.593,NA
HMDB0000055,3.813,3.612,NA
HMDB0000055,3.812,3.936,NA
HMDB0000055,3.81,3.817,NA
HMDB0000055,3.809,3.789,NA
HMDB0000055,3.743,3.894,NA
HMDB0000055,3.739,3.481,NA
HMDB0000055,3.739,3.505,NA
HMDB0000055,3.738,3.411,NA
HMDB0000055,3.738,3.434,NA
HMDB0000055,3.737,3.389,NA
HMDB0000055,3.737,3.714,NA
HMDB0000055,3.737,3.742,NA
HMDB0000055,3.736,3.721,NA
HMDB0000055,3.637,3.867,NA
HMDB0000055,3.633,3.839,NA
HMDB0000055,3.631,4.667,NA
HMDB0000055,3.63,4.648,NA
HMDB0000055,3.628,3.792,NA
HMDB0000055,3.628,3.817,NA
HMDB0000055,3.625,3.635,NA
HMDB0000055,3.623,3.616,NA
HMDB0000055,3.622,3.299,NA
HMDB0000055,3.62,3.279,NA
HMDB0000055,3.62,3.602,NA
HMDB0000055,3.62,3.935,NA
